Linie;KM;Abkuerzung Bahnhof;Haltestellen Name;Perrontyp;Perron Nummer;Kundengleis Nr.;Perronkantenlänge;Perronkantenhöhe;Bemerkung Höhe;Hilfstritt;Höhenverlauf;Material;Bemerkung Material;Kantenart;Bemerkung Kantenkrone;Auftritt;ErfMandant;FID;1_koord;2_koord;BPUIC;lod
224;29.358;CF;La Chaux-de-Fonds;Mittelperron;1/2;2;143.57;<=P20;15;nicht vorhanden;konstant;Ortsbeton;;Naturstein;;Kein;SBB;35341690;47.0991715894, 6.82670771097;47.0983518744,6.82524640729;8504314;http://lod.opentransportdata.swiss/didok/8504314
224;29.365;CF;La Chaux-de-Fonds;Mittelperron;1/2;1;138.49;<=P20;10;nicht vorhanden;Karrenueberfahrten;Ortsbeton;;Naturstein;;Kein;SBB;35373651;47.0991865948, 6.82656980377;47.0983922751,6.82516466835;8504314;http://lod.opentransportdata.swiss/didok/8504314
224;29.516;CF;La Chaux-de-Fonds;Mittelperron;5/6;5;81.44;<=P20;15;nicht vorhanden;Karrenueberfahrten;Fertigelement;;Beton;;Kein;SBB;35355600;47.0981049212, 6.82530032435;47.0976403771,6.82447096693;8504314;http://lod.opentransportdata.swiss/didok/8504314
224;29.516;CF;La Chaux-de-Fonds;Mittelperron;3/4;4;32.89;P 25;;nicht vorhanden;Karrenueberfahrten;Ortsbeton;;Naturstein;;Kein;SBB;121855588;47.0981598925, 6.82523339588;47.097970096,6.82490100389;8504314;http://lod.opentransportdata.swiss/didok/8504314
224;37.045;LOC;Le Locle;Aussenperron;2;;231.07;P 35;;nicht vorhanden;Karrenueberfahrten;Ortsbeton;;Naturstein;;Kein;SBB;35308894;47.0580963717, 6.74627279008;47.0570021131,6.74369911616;8504316;http://lod.opentransportdata.swiss/didok/8504316
225;39.187;FRIN;Frinvillier-Taubenloch;Hausperron;1;1;12.99;P 55;;nicht vorhanden;;Fertigelement;;Beton;;Kein;SBB;255849115;47.1697281428, 7.25659941928;47.1696828354,7.2567573251;8504301;http://lod.opentransportdata.swiss/didok/8504301
225;48.193;SCB;Sonceboz-Sombeval;Mittelperron;2/3;2 / 3;175.14;P 30;;nicht vorhanden;Karrenueberfahrten;Fertigelement;;Beton;;Kein;SBB;35330362;47.1951492699, 7.16995227351;47.194920266,7.16766849204;8504304;http://lod.opentransportdata.swiss/didok/8504304
225;62.313;STI;St-Imier;Hausperron;1;1;221.43;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;SBB;35318785;47.1518557374, 7.00209958605;47.1512545366,6.99931619505;8504310;http://lod.opentransportdata.swiss/didok/8504310
226;55.101;TA;Tavannes;Zwischenperron;2;2;155.86;P 20;;nicht vorhanden;Karrenueberfahrten;Fertigelement;;Beton;;Kein;SBB;35356104;47.219407552, 7.20094059842;47.2203054302,7.20252083371;8500100;http://lod.opentransportdata.swiss/didok/8500100
226;60.107;PON;Pontenet;Hausperron;1;1;84.07;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;SBB;40291034;47.238928069, 7.25400152751;47.2386692612,7.25504450457;8500135;http://lod.opentransportdata.swiss/didok/8500135
226;64.124;SOR;Sorvilier;Hausperron;1;1;147.65;<=P20;;nicht vorhanden;Karrenueberfahrten;Fertigelement;;Beton;;Kein;SBB;35348067;47.2393962614, 7.30479873368;47.2392609875,7.30673757701;8500103;http://lod.opentransportdata.swiss/didok/8500103
226;84.474;DMT;Delemont;Hausperron;1;1;20.44;P 25;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;SBB;237390523;47.3622608717, 7.35178513366;47.3622523828,7.35174008715;8500109;http://lod.opentransportdata.swiss/didok/8500109
226;84.52;DMT;Delemont;Mittelperron;4/5;5;50.5;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Andere;SBB;122757240;47.3619134354, 7.35129593467;47.3617951503,7.35065046327;8500109;http://lod.opentransportdata.swiss/didok/8500109
230;97.371;BAER;Barschwil;Dienstperron;11;;185.31;P 25;;nicht vorhanden;nicht konstant;Ortsbeton;;Naturstein;;Kein;SBB;35364283;47.4005147926, 7.47492826274;47.4009079764,7.47730758734;8500112;http://lod.opentransportdata.swiss/didok/8500112
230;100.226;LFN;Laufen;Mittelperron;3/4;3 / 4;375.31;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;SBB;35315805;47.415978411, 7.50163939839;47.4192316805,7.50290260557;8500113;http://lod.opentransportdata.swiss/didok/8500113
230;100.226;LFN;Laufen;Mittelperron;3/4;3;421.23;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;SBB;35315788;47.4159911583, 7.50156743448;47.419651406,7.50300813865;8500113;http://lod.opentransportdata.swiss/didok/8500113
230;100.865;LFN;Laufen;Hausperron;1/2;;194.75;P 35;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;SBB;35355081;47.4213157362, 7.5044151607;47.4199118866,7.50290729769;8500113;http://lod.opentransportdata.swiss/didok/8500113
230;103.581;ZWG;Zwingen;Mittelperron;3/4;3 / 4;222.82;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;SBB;35354222;47.4344755492, 7.53200943189;47.4335061365,7.52946906338;8500114;http://lod.opentransportdata.swiss/didok/8500114
230;108.862;GREL;Grellingen;Hausperron;2;2;223.42;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Andere;SBB;35371409;47.441098938, 7.59095732805;47.4413475757,7.59389134045;8500115;http://lod.opentransportdata.swiss/didok/8500115
230;112.951;AE;Aesch BL;Hausperron;2;2;220.26;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;SBB;35329070;47.4672911993, 7.60311469772;47.4692261507,7.60371301436;8500117;http://lod.opentransportdata.swiss/didok/8500117
230;115.445;DOR;Dornach-Arlesheim;Aussenperron;3;3;220.07;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;SBB;35374432;47.4885739668, 7.61130689519;47.4905485891,7.61110644447;8500118;http://lod.opentransportdata.swiss/didok/8500118
230;118.155;MST;Munchenstein;Mittelperron;2/3;2;50.02;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;SBB;35340282;47.5121907004, 7.61679854158;47.5126178151,7.61700705673;8500119;http://lod.opentransportdata.swiss/didok/8500119
230;118.206;MST;Munchenstein;Mittelperron;2/3;2;170.2;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;SBB;35347439;47.5126178151, 7.61700705673;47.51407156,7.61771451188;8500119;http://lod.opentransportdata.swiss/didok/8500119
230;118.206;MST;Munchenstein;Mittelperron;2/3;2 / 3;170.51;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;SBB;35331465;47.5126265624, 7.61696840256;47.5140785016,7.61768637808;8500119;http://lod.opentransportdata.swiss/didok/8500119
230;121.004;BSDH;Basel Dreispitz;Aussenperron;2;2;219.91;P 55;;nicht vorhanden;konstant;Fertigelement;32 Stk. spez. Perronelemente;Beton;;Gitterrost;SBB;35361477;47.5367122169, 7.61059015799;47.53815381,7.60859087782;8500136;http://lod.opentransportdata.swiss/didok/8500136
232;10.467;GN;Grenchen Nord;Mittelperron;2/3;3;398.58;P 55;;nicht vorhanden;konstant;Fertigelement;Beton;Beton;;Gitterrost;BLS;35324842;47.1934330074, 7.39075154037;47.1903388667,7.38832464059;8500159;http://lod.opentransportdata.swiss/didok/8500159
240;84.75;DMT;Delemont;Mittelperron;4/5;4;22.26;<=P20;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;SBB;239554339;47.3614251887, 7.34833635218;47.3613688859,7.34805444129;8500109;http://lod.opentransportdata.swiss/didok/8500109
240;84.764;DMT;Delemont;Mittelperron;2/3;3;358.49;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Andere;SBB;35331451;47.3614583058, 7.34813207012;47.3623021647,7.35271218222;8500109;http://lod.opentransportdata.swiss/didok/8500109
240;84.764;DMT;Delemont;Mittelperron;2/3;2;360.55;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;SBB;35355162;47.3614779625, 7.34812585454;47.3623576186,7.35271755888;8500109;http://lod.opentransportdata.swiss/didok/8500109
240;84.766;DMT;Delemont;Hausperron;1;1;288.39;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Andere;SBB;35337206;47.3615430279, 7.34806994744;47.3622523828,7.35174008715;8500109;http://lod.opentransportdata.swiss/didok/8500109
